"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7.2,4.88220551378446,-7.90776777829632
9,7.2,4.90225563909774,-8.02957144741817
9,7.2,4.92230576441103,-8.14479734225695
9,7.2,4.94235588972431,-8.25310672735687
9,7.2,4.96240601503759,-8.35420465764328
9,7.2,4.98245614035088,-8.44784318460672
9,7.2,5.00250626566416,-8.53382364049671
9,7.2,5.02255639097744,-8.61199792028051
9,7.2,5.04260651629073,-8.68226872033681
9,7.2,5.06265664160401,-8.74458873497945
9,7.2,5.08270676691729,-8.79895885404661
9,7.2,5.10275689223058,-8.84542544407057
9,7.2,5.12280701754386,-8.88407682936603
9,7.2,5.14285714285714,-8.91503911571922
9,7.2,5.16290726817043,-8.9384715169205
9,7.2,5.18295739348371,-8.95456135269593
9,7.2,5.20300751879699,-8.96351888596006
9,7.2,5.22305764411028,-8.96557215872188
9,7.2,5.24310776942356,-8.96096197091496
9,7.2,5.26315789473684,-8.94993712665048
9,7.2,5.28320802005013,-8.93275004976031
9,7.2,5.30325814536341,-8.90965284674709
9,7.2,5.32330827067669,-8.88089387189776
9,7.2,5.34335839598998,-8.84671482752957
9,7.2,5.36340852130326,-8.80734841295593
9,7.2,5.38345864661654,-8.76301651926197
9,7.2,5.40350877192982,-8.71392895354675
9,7.2,5.42355889724311,-8.66028266583979
9,7.2,5.44360902255639,-8.60226144418038
9,7.2,5.46365914786967,-8.54003603798081
9,7.2,5.48370927318296,-8.47376466634548
9,7.2,5.50375939849624,-8.40359386604423
9,7.2,5.52380952380952,-8.32965963292377
9,7.2,5.54385964912281,-8.25208881032964
9,7.2,5.56390977443609,-8.17100067831139
9,7.2,5.58395989974937,-8.0865086977902
9,7.2,5.60401002506266,-7.99872236435467
9,7.2,5.62406015037594,-7.90774912686342
9,7.2,5.64411027568922,-7.81369632659119
9,7.2,5.66416040100251,-7.71667311333252
9,7.2,5.68421052631579,-7.61679229578285
9,7.2,5.70426065162907,-7.51417208479477
9,7.2,5.72431077694236,-7.40893768990441
9,7.2,5.74436090225564,-7.30122273197726
9,7.2,5.76441102756892,-7.19117043805227
9,7.2,5.78446115288221,-7.0789345885471
9,7.2,5.80451127819549,-6.96468019195044
9,7.2,5.82456140350877,-6.84858386794322
9,7.2,5.84461152882206,-6.73083392647192
9,7.2,5.86466165413534,-6.61163013748902
9,7.2,5.88471177944862,-6.49118319368115
9,7.2,5.90476190476191,-6.3697138762792
